id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 119604524 ,413dbb37-5abb-11e8-911c-28924ad12c5c,  -17.437000 ,  -42.791000 ,2013-09-26 16:50:00,Brasil,MINAS GERAIS,VEREDINHA,Cerrado
 108451857 ,577bf10c-5abb-11e8-911c-28924ad12c5c,  -15.447000 ,  -45.693000 ,2013-06-09 17:21:00,Brasil,MINAS GERAIS,ARINOS,Cerrado
 97938682 ,57698b6f-5abb-11e8-911c-28924ad12c5c,  -16.972000 ,  -41.389000 ,2013-01-01 16:26:00,Brasil,MINAS GERAIS,PONTO DOS VOLANTES,Mata Atlântica
 97938680 ,57698b6d-5abb-11e8-911c-28924ad12c5c,  -15.080000 ,  -43.943000 ,2013-01-01 16:26:00,Brasil,MINAS GERAIS,JAÍBA,Cerrado
 97938679 ,57698b6c-5abb-11e8-911c-28924ad12c5c,  -16.764000 ,  -42.207000 ,2013-01-01 16:26:00,Brasil,MINAS GERAIS,CORONEL MURTA,Mata Atlântica
 97938678 ,57698b6b-5abb-11e8-911c-28924ad12c5c,  -16.971000 ,  -41.379000 ,2013-01-01 16:26:00,Brasil,MINAS GERAIS,PONTO DOS VOLANTES,Mata Atlântica
 97938677 ,57698b6a-5abb-11e8-911c-28924ad12c5c,  -15.798000 ,  -41.134000 ,2013-01-01 16:26:00,Brasil,MINAS GERAIS,DIVISÓPOLIS,Mata Atlântica
 97938676 ,57698b69-5abb-11e8-911c-28924ad12c5c,  -14.705000 ,  -44.723000 ,2013-01-01 16:26:00,Brasil,MINAS GERAIS,CÔNEGO MARINHO,Cerrado
 97938675 ,57698b68-5abb-11e8-911c-28924ad12c5c,  -16.994000 ,  -40.950000 ,2013-01-01 16:26:00,Brasil,MINAS GERAIS,ÁGUAS FORMOSAS,Mata Atlântica
 98107123 ,3ec9e80f-5abb-11e8-911c-28924ad12c5c,  -16.402000 ,  -42.445000 ,2013-01-03 16:14:00,Brasil,MINAS GERAIS,RUBELITA,Cerrado
 98107120 ,3ec9e80c-5abb-11e8-911c-28924ad12c5c,  -15.756000 ,  -41.190000 ,2013-01-03 16:14:00,Brasil,MINAS GERAIS,PEDRA AZUL,Mata Atlântica
 98107119 ,3ec9e80b-5abb-11e8-911c-28924ad12c5c,  -15.877000 ,  -40.632000 ,2013-01-03 16:14:00,Brasil,MINAS GERAIS,MATA VERDE,Mata Atlântica
 98107112 ,3ec9e809-5abb-11e8-911c-28924ad12c5c,  -15.984000 ,  -43.883000 ,2013-01-03 16:14:00,Brasil,MINAS GERAIS,SÃO JOÃO DA PONTE,Caatinga
 98107108 ,3ec9e805-5abb-11e8-911c-28924ad12c5c,  -16.273000 ,  -41.286000 ,2013-01-03 16:14:00,Brasil,MINAS GERAIS,MEDINA,Mata Atlântica
 98107107 ,3ec9e804-5abb-11e8-911c-28924ad12c5c,  -14.453000 ,  -44.134000 ,2013-01-03 16:14:00,Brasil,MINAS GERAIS,MANGA,Caatinga
 98107106 ,3ec9e803-5abb-11e8-911c-28924ad12c5c,  -15.878000 ,  -40.644000 ,2013-01-03 16:14:00,Brasil,MINAS GERAIS,BANDEIRA,Mata Atlântica
 98107102 ,3ec9e7ff-5abb-11e8-911c-28924ad12c5c,  -16.992000 ,  -40.925000 ,2013-01-03 16:13:00,Brasil,MINAS GERAIS,ÁGUAS FORMOSAS,Mata Atlântica
 98107100 ,3ec9e7fd-5abb-11e8-911c-28924ad12c5c,  -17.309000 ,  -41.723000 ,2013-01-03 16:13:00,Brasil,MINAS GERAIS,CARAÍ,Mata Atlântica
 98107099 ,3ec9e7fc-5abb-11e8-911c-28924ad12c5c,  -16.983000 ,  -40.940000 ,2013-01-03 16:13:00,Brasil,MINAS GERAIS,ÁGUAS FORMOSAS,Mata Atlântica
 98107097 ,3ec9e7fa-5abb-11e8-911c-28924ad12c5c,  -16.948000 ,  -41.043000 ,2013-01-03 16:13:00,Brasil,MINAS GERAIS,ÁGUAS FORMOSAS,Mata Atlântica
 98107116 ,57698c20-5abb-11e8-911c-28924ad12c5c,  -15.701000 ,  -41.736000 ,2013-01-03 16:14:00,Brasil,MINAS GERAIS,BERIZAL,Mata Atlântica
 98107094 ,57698c1d-5abb-11e8-911c-28924ad12c5c,  -18.225000 ,  -41.945000 ,2013-01-03 16:13:00,Brasil,MINAS GERAIS,ITAMBACURI,Mata Atlântica
 98107093 ,57698c1c-5abb-11e8-911c-28924ad12c5c,  -16.952000 ,  -41.038000 ,2013-01-03 16:13:00,Brasil,MINAS GERAIS,ÁGUAS FORMOSAS,Mata Atlântica
 98107089 ,641e3764-5abb-11e8-911c-28924ad12c5c,  -16.981000 ,  -40.927000 ,2013-01-03 16:13:00,Brasil,MINAS GERAIS,ÁGUAS FORMOSAS,Mata Atlântica
 98107088 ,641e3763-5abb-11e8-911c-28924ad12c5c,  -17.184000 ,  -41.171000 ,2013-01-03 16:13:00,Brasil,MINAS GERAIS,NOVO ORIENTE DE MINAS,Mata Atlântica
 98107086 ,641e3761-5abb-11e8-911c-28924ad12c5c,  -17.320000 ,  -41.721000 ,2013-01-03 16:13:00,Brasil,MINAS GERAIS,ITAIPÉ,Mata Atlântica
 98107085 ,641e3760-5abb-11e8-911c-28924ad12c5c,  -16.832000 ,  -40.630000 ,2013-01-03 16:13:00,Brasil,MINAS GERAIS,SANTA HELENA DE MINAS,Mata Atlântica
 98208202 ,57698c9f-5abb-11e8-911c-28924ad12c5c,  -17.501000 ,  -46.890000 ,2013-01-04 16:56:00,Brasil,MINAS GERAIS,GUARDA-MOR,Cerrado
 98208205 ,57698ca2-5abb-11e8-911c-28924ad12c5c,  -19.435000 ,  -42.734000 ,2013-01-04 16:56:00,Brasil,MINAS GERAIS,CORONEL FABRICIANO,Mata Atlântica
 98208204 ,57698ca1-5abb-11e8-911c-28924ad12c5c,  -16.582000 ,  -42.698000 ,2013-01-04 16:56:00,Brasil,MINAS GERAIS,GRÃO MOGOL,Cerrado
 98208216 ,3ed44274-5abb-11e8-911c-28924ad12c5c,  -15.451000 ,  -42.145000 ,2013-01-04 16:57:00,Brasil,MINAS GERAIS,INDAIABIRA,Mata Atlântica
 98208214 ,3ed44273-5abb-11e8-911c-28924ad12c5c,  -15.448000 ,  -42.127000 ,2013-01-04 16:57:00,Brasil,MINAS GERAIS,INDAIABIRA,Mata Atlântica
