id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 223944513 ,4e8c508c-5abb-11e8-911c-28924ad12c5c,  -20.708000 ,  -46.620000 ,2017-01-08 16:49:00,Brasil,MINAS GERAIS,PASSOS,Cerrado
 223944516 ,4e8c508f-5abb-11e8-911c-28924ad12c5c,  -19.511000 ,  -46.654000 ,2017-01-08 16:49:00,Brasil,MINAS GERAIS,IBIÁ,Cerrado
 223944518 ,4e8c5091-5abb-11e8-911c-28924ad12c5c,  -17.766000 ,  -46.932000 ,2017-01-08 16:49:00,Brasil,MINAS GERAIS,GUARDA-MOR,Cerrado
 224262075 ,5a24db91-5abb-11e8-911c-28924ad12c5c,  -17.138000 ,  -45.808000 ,2017-01-12 16:25:00,Brasil,MINAS GERAIS,BRASILÂNDIA DE MINAS,Cerrado
 224262097 ,5a24db92-5abb-11e8-911c-28924ad12c5c,  -17.207000 ,  -45.762000 ,2017-01-12 16:25:00,Brasil,MINAS GERAIS,JOÃO PINHEIRO,Cerrado
 224262101 ,5a24db93-5abb-11e8-911c-28924ad12c5c,  -15.818000 ,  -45.886000 ,2017-01-12 16:25:00,Brasil,MINAS GERAIS,ARINOS,Cerrado
 223782983 ,6c03116b-5abb-11e8-911c-28924ad12c5c,  -18.770000 ,  -49.443000 ,2017-01-06 17:01:00,Brasil,MINAS GERAIS,CAPINÓPOLIS,Cerrado
 224023130 ,5a23c63d-5abb-11e8-911c-28924ad12c5c,  -17.566000 ,  -43.099000 ,2017-01-09 15:54:00,Brasil,MINAS GERAIS,CARBONITA,Cerrado
 223471613 ,4e7e37ad-5abb-11e8-911c-28924ad12c5c,  -15.105000 ,  -45.629000 ,2017-01-03 16:32:00,Brasil,MINAS GERAIS,CHAPADA GAÚCHA,Cerrado
 223471616 ,4e7e37b0-5abb-11e8-911c-28924ad12c5c,  -15.112000 ,  -45.635000 ,2017-01-03 16:32:00,Brasil,MINAS GERAIS,CHAPADA GAÚCHA,Cerrado
 223471602 ,5a21b166-5abb-11e8-911c-28924ad12c5c,  -19.062000 ,  -50.115000 ,2017-01-03 16:31:00,Brasil,MINAS GERAIS,SANTA VITÓRIA,Cerrado
 223471527 ,5a21b15e-5abb-11e8-911c-28924ad12c5c,  -19.953000 ,  -45.167000 ,2017-01-03 16:30:00,Brasil,MINAS GERAIS,ARAÚJOS,Cerrado
 223471542 ,5a21b15f-5abb-11e8-911c-28924ad12c5c,  -21.238000 ,  -42.332000 ,2017-01-03 16:30:00,Brasil,MINAS GERAIS,BARÃO DE MONTE ALTO,Mata Atlântica
