id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 23057425 ,64c598b6-5abb-11e8-911c-28924ad12c5c,  -17.229000 ,  -42.365000 ,2005-04-04 16:53:00,Brasil,MINAS GERAIS,CHAPADA DO NORTE,Cerrado
 23057422 ,64c598b3-5abb-11e8-911c-28924ad12c5c,  -17.637000 ,  -41.922000 ,2005-04-04 16:53:00,Brasil,MINAS GERAIS,LADAINHA,Mata Atlântica
 23057420 ,64c598b1-5abb-11e8-911c-28924ad12c5c,  -18.190000 ,  -45.904000 ,2005-04-04 16:53:00,Brasil,MINAS GERAIS,JOÃO PINHEIRO,Cerrado
 23057419 ,64c598b0-5abb-11e8-911c-28924ad12c5c,  -16.230000 ,  -42.738000 ,2005-04-04 16:53:00,Brasil,MINAS GERAIS,GRÃO MOGOL,Cerrado
 23057398 ,64c598ae-5abb-11e8-911c-28924ad12c5c,  -15.188000 ,  -46.631000 ,2005-04-04 16:53:00,Brasil,MINAS GERAIS,BURITIS,Cerrado
 23057395 ,64c598ad-5abb-11e8-911c-28924ad12c5c,  -15.718000 ,  -46.130000 ,2005-04-04 16:53:00,Brasil,MINAS GERAIS,ARINOS,Cerrado
 23057392 ,64c598ab-5abb-11e8-911c-28924ad12c5c,  -16.224000 ,  -42.745000 ,2005-04-04 16:53:00,Brasil,MINAS GERAIS,GRÃO MOGOL,Cerrado
 23057391 ,64c598aa-5abb-11e8-911c-28924ad12c5c,  -21.582000 ,  -44.852000 ,2005-04-04 16:52:00,Brasil,MINAS GERAIS,LUMINÁRIAS,Mata Atlântica
 23057389 ,64c598a8-5abb-11e8-911c-28924ad12c5c,  -19.937000 ,  -47.212000 ,2005-04-04 16:52:00,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado
 23057388 ,64c598a7-5abb-11e8-911c-28924ad12c5c,  -21.580000 ,  -44.841000 ,2005-04-04 16:52:00,Brasil,MINAS GERAIS,LUMINÁRIAS,Mata Atlântica
 23057415 ,554a761d-5abb-11e8-911c-28924ad12c5c,  -17.458000 ,  -45.273000 ,2005-04-04 16:53:00,Brasil,MINAS GERAIS,BURITIZEIRO,Cerrado
