id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 379719371 ,37bfea6a-ca3d-3031-aa09-542f6cee8a87,  -19.902000 ,  -48.156000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,CONCEIÇÃO DAS ALAGOAS,Cerrado
 379719361 ,cbf576eb-8484-3fde-85da-20806e9794ee,  -20.908000 ,  -47.125000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,SÃO SEBASTIÃO DO PARAÍSO,Cerrado
 379719364 ,21e1d445-e62a-3307-994c-d902f0dd10ff,  -20.638000 ,  -46.545000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,SÃO JOÃO BATISTA DO GLÓRIA,Cerrado
 379719365 ,019f5a8f-3502-3c0a-9214-7400b2fe9cde,  -20.636000 ,  -46.532000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,SÃO JOÃO BATISTA DO GLÓRIA,Cerrado
 379719366 ,03c685a2-67e4-3fed-b7e8-39103a5e5028,  -20.160000 ,  -46.445000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,SÃO ROQUE DE MINAS,Cerrado
 379719367 ,73cbe75a-2985-337c-80a7-0b89eea7ca8e,  -20.116000 ,  -46.184000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,MEDEIROS,Cerrado
 379719368 ,dae1b703-66a8-32d5-87ea-cd2f7de4fe39,  -19.913000 ,  -48.165000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,CONCEIÇÃO DAS ALAGOAS,Cerrado
 379719369 ,e7678011-3392-33e5-809d-8d03eecf4343,  -19.911000 ,  -48.155000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,ÁGUA COMPRIDA,Cerrado
 379719507 ,2c554688-d135-3c1e-baa7-9ff326cb92b6,  -18.565000 ,  -49.115000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,MONTE ALEGRE DE MINAS,Mata Atlântica
 379719503 ,9b61bb71-0594-3f5e-8efb-da9f10b3ac8c,  -18.577000 ,  -49.133000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,CENTRALINA,Mata Atlântica
 379719504 ,e3aefb0b-0d53-398c-87a9-ef987c649b00,  -18.575000 ,  -49.123000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,MONTE ALEGRE DE MINAS,Mata Atlântica
 379719505 ,dc9ae6bf-161d-3cdc-81b2-22767df299b2,  -18.574000 ,  -49.113000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,MONTE ALEGRE DE MINAS,Mata Atlântica
 379719506 ,8621f463-ec59-3f01-bfde-227aec480977,  -18.566000 ,  -49.125000 ,2018-07-27 17:05:00,Brasil,MINAS GERAIS,MONTE ALEGRE DE MINAS,Mata Atlântica
 293406749 ,5ae791b2-8b65-31d8-82f4-8c1c10bb1623,  -15.698000 ,  -42.029000 ,2018-01-01 16:10:00,Brasil,MINAS GERAIS,TAIOBEIRAS,Cerrado
 293693568 ,06ec5c55-013c-3d94-8ed9-fba3aec23640,  -16.097000 ,  -43.383000 ,2018-01-10 16:05:00,Brasil,MINAS GERAIS,JANAÚBA,Cerrado
 293693567 ,34c298c1-b5ac-3bef-b6ca-d0b690cce843,  -16.107000 ,  -43.389000 ,2018-01-10 16:05:00,Brasil,MINAS GERAIS,FRANCISCO SÁ,Cerrado
 294103608 ,dc14b430-a897-3d92-aa9c-ef2067b32375,  -16.626000 ,  -42.809000 ,2018-01-28 15:55:00,Brasil,MINAS GERAIS,CRISTÁLIA,Cerrado
 294103607 ,8cd86b4f-4469-33a8-8dee-744c9ac505e3,  -16.207000 ,  -42.760000 ,2018-01-28 15:55:00,Brasil,MINAS GERAIS,GRÃO MOGOL,Cerrado
 294103606 ,8c5953cd-8121-3da5-a81b-1ed735bb2264,  -16.205000 ,  -42.765000 ,2018-01-28 15:55:00,Brasil,MINAS GERAIS,GRÃO MOGOL,Cerrado
 293877138 ,bf12b41e-707a-3a20-8a6c-452ea7fa6ee7,  -15.766000 ,  -40.936000 ,2018-01-17 16:10:00,Brasil,MINAS GERAIS,DIVISÓPOLIS,Mata Atlântica
 293918796 ,9f791e9a-f40b-3889-947c-088753d04ab6,  -16.187000 ,  -42.053000 ,2018-01-19 16:00:00,Brasil,MINAS GERAIS,SALINAS,Mata Atlântica
 293897149 ,71b8f29e-b9a1-3db1-9a1b-ed13b91ff929,  -18.948000 ,  -49.359000 ,2018-01-18 16:55:00,Brasil,MINAS GERAIS,ITUIUTABA,Cerrado
 293825783 ,8abe014a-1258-34fd-b3cc-dd402bcdf038,  -18.668000 ,  -43.686000 ,2018-01-15 16:25:00,Brasil,MINAS GERAIS,CONCEIÇÃO DO MATO DENTRO,Mata Atlântica
 293825782 ,9862a6b4-cad3-3fba-a97f-6d80a8e1f43e,  -18.475000 ,  -43.031000 ,2018-01-15 16:25:00,Brasil,MINAS GERAIS,MATERLÂNDIA,Mata Atlântica
