id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 9988882 ,5e864492-5abb-11e8-911c-28924ad12c5c,  -17.612000 ,  -47.160000 ,2003-05-15 17:05:00,Brasil,MINAS GERAIS,GUARDA-MOR,Cerrado
 9988878 ,5e86448f-5abb-11e8-911c-28924ad12c5c,  -17.015000 ,  -46.329000 ,2003-05-15 17:05:00,Brasil,MINAS GERAIS,PARACATU,Cerrado
 9988876 ,5e86448d-5abb-11e8-911c-28924ad12c5c,  -17.614000 ,  -47.172000 ,2003-05-15 17:05:00,Brasil,MINAS GERAIS,GUARDA-MOR,Cerrado
 9988840 ,5e86447a-5abb-11e8-911c-28924ad12c5c,  -19.987000 ,  -48.251000 ,2003-05-15 17:04:00,Brasil,MINAS GERAIS,CONCEIÇÃO DAS ALAGOAS,Cerrado
 9988830 ,5e864470-5abb-11e8-911c-28924ad12c5c,  -19.988000 ,  -48.261000 ,2003-05-15 17:04:00,Brasil,MINAS GERAIS,CONCEIÇÃO DAS ALAGOAS,Cerrado
 9988817 ,5e864463-5abb-11e8-911c-28924ad12c5c,  -19.664000 ,  -48.840000 ,2003-05-15 17:04:00,Brasil,MINAS GERAIS,COMENDADOR GOMES,Cerrado
 9988687 ,5e86440a-5abb-11e8-911c-28924ad12c5c,  -22.851000 ,  -46.301000 ,2003-05-15 17:03:00,Brasil,MINAS GERAIS,EXTREMA,Mata Atlântica
 9988686 ,5e864409-5abb-11e8-911c-28924ad12c5c,  -22.853000 ,  -46.313000 ,2003-05-15 17:03:00,Brasil,MINAS GERAIS,EXTREMA,Mata Atlântica
 9988857 ,5486544d-5abb-11e8-911c-28924ad12c5c,  -19.512000 ,  -50.762000 ,2003-05-15 17:05:00,Brasil,MINAS GERAIS,CARNEIRINHO,Mata Atlântica
 10012463 ,5e8941ce-5abb-11e8-911c-28924ad12c5c,  -17.809000 ,  -44.890000 ,2003-05-16 16:10:00,Brasil,MINAS GERAIS,LASSANCE,Cerrado
 10012462 ,5e8941cd-5abb-11e8-911c-28924ad12c5c,  -16.897000 ,  -46.715000 ,2003-05-16 16:10:00,Brasil,MINAS GERAIS,PARACATU,Cerrado
 8093720 ,546621ea-5abb-11e8-911c-28924ad12c5c,  -15.621000 ,  -41.665000 ,2003-01-01 16:04:00,Brasil,MINAS GERAIS,BERIZAL,Mata Atlântica
 8109348 ,5466b3b7-5abb-11e8-911c-28924ad12c5c,  -18.641000 ,  -49.989000 ,2003-01-02 16:46:00,Brasil,MINAS GERAIS,IPIAÇU,Mata Atlântica
 8179916 ,5d21f81c-5abb-11e8-911c-28924ad12c5c,  -18.704000 ,  -42.327000 ,2003-01-06 16:22:00,Brasil,MINAS GERAIS,COROACI,Mata Atlântica
 8179911 ,5d21f817-5abb-11e8-911c-28924ad12c5c,  -17.335000 ,  -41.685000 ,2003-01-06 16:22:00,Brasil,MINAS GERAIS,ITAIPÉ,Mata Atlântica
 8179910 ,5d21f816-5abb-11e8-911c-28924ad12c5c,  -15.801000 ,  -41.616000 ,2003-01-06 16:22:00,Brasil,MINAS GERAIS,CURRAL DE DENTRO,Mata Atlântica
 8179906 ,5d21f812-5abb-11e8-911c-28924ad12c5c,  -18.316000 ,  -43.270000 ,2003-01-06 16:22:00,Brasil,MINAS GERAIS,SERRA AZUL DE MINAS,Mata Atlântica
 8179924 ,546735a8-5abb-11e8-911c-28924ad12c5c,  -17.334000 ,  -41.675000 ,2003-01-06 16:22:00,Brasil,MINAS GERAIS,ITAIPÉ,Mata Atlântica
 8213212 ,5d2e9d0a-5abb-11e8-911c-28924ad12c5c,  -16.668000 ,  -42.655000 ,2003-01-08 16:10:00,Brasil,MINAS GERAIS,GRÃO MOGOL,Cerrado
 8229824 ,5d367403-5abb-11e8-911c-28924ad12c5c,  -21.668000 ,  -45.317000 ,2003-01-09 16:52:00,Brasil,MINAS GERAIS,TRÊS CORAÇÕES,Mata Atlântica
 8229817 ,5d3673fc-5abb-11e8-911c-28924ad12c5c,  -19.971000 ,  -47.955000 ,2003-01-09 16:52:00,Brasil,MINAS GERAIS,UBERABA,Cerrado
 8229812 ,5d3673f0-5abb-11e8-911c-28924ad12c5c,  -22.131000 ,  -45.952000 ,2003-01-09 16:52:00,Brasil,MINAS GERAIS,POUSO ALEGRE,Mata Atlântica
 8229799 ,5d3673eb-5abb-11e8-911c-28924ad12c5c,  -19.970000 ,  -47.087000 ,2003-01-09 16:52:00,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado
 8229833 ,5467b9c4-5abb-11e8-911c-28924ad12c5c,  -19.449000 ,  -50.255000 ,2003-01-09 16:52:00,Brasil,MINAS GERAIS,UNIÃO DE MINAS,Cerrado
 8243936 ,5467ba84-5abb-11e8-911c-28924ad12c5c,  -16.665000 ,  -42.644000 ,2003-01-10 15:58:00,Brasil,MINAS GERAIS,GRÃO MOGOL,Cerrado
 8259616 ,54687a83-5abb-11e8-911c-28924ad12c5c,  -19.515000 ,  -48.855000 ,2003-01-11 16:40:00,Brasil,MINAS GERAIS,PRATA,Cerrado
 8259615 ,54687a82-5abb-11e8-911c-28924ad12c5c,  -19.712000 ,  -49.264000 ,2003-01-11 16:40:00,Brasil,MINAS GERAIS,ITAPAGIPE,Cerrado
 8286806 ,5d3c39cd-5abb-11e8-911c-28924ad12c5c,  -15.418000 ,  -42.197000 ,2003-01-13 16:29:00,Brasil,MINAS GERAIS,INDAIABIRA,Mata Atlântica
 8286803 ,5d3c39cc-5abb-11e8-911c-28924ad12c5c,  -16.257000 ,  -46.316000 ,2003-01-13 16:29:00,Brasil,MINAS GERAIS,UNAÍ,Cerrado
 8286802 ,5d3c39cb-5abb-11e8-911c-28924ad12c5c,  -15.601000 ,  -43.661000 ,2003-01-13 16:29:00,Brasil,MINAS GERAIS,VERDELÂNDIA,Caatinga
 8286800 ,5d3c39c9-5abb-11e8-911c-28924ad12c5c,  -15.664000 ,  -42.046000 ,2003-01-13 16:29:00,Brasil,MINAS GERAIS,INDAIABIRA,Cerrado
 8286793 ,54687c71-5abb-11e8-911c-28924ad12c5c,  -15.888000 ,  -43.529000 ,2003-01-13 16:29:00,Brasil,MINAS GERAIS,JANAÚBA,Cerrado
 8286794 ,5d3c39c8-5abb-11e8-911c-28924ad12c5c,  -16.246000 ,  -46.317000 ,2003-01-13 16:29:00,Brasil,MINAS GERAIS,URUANA DE MINAS,Cerrado
