id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 41607319 ,2bc0c516-5abb-11e8-911c-28924ad12c5c,  -16.964000 ,  -41.150000 ,2008-01-04 16:24:00,Brasil,MINAS GERAIS,JOAÍMA,Mata Atlântica
 41607318 ,2bc0c515-5abb-11e8-911c-28924ad12c5c,  -17.349000 ,  -41.417000 ,2008-01-04 16:24:00,Brasil,MINAS GERAIS,CATUJI,Mata Atlântica
 41689548 ,563a0140-5abb-11e8-911c-28924ad12c5c,  -15.943000 ,  -43.835000 ,2008-01-09 16:43:00,Brasil,MINAS GERAIS,SÃO JOÃO DA PONTE,Caatinga
 41689547 ,563a013f-5abb-11e8-911c-28924ad12c5c,  -21.116000 ,  -45.587000 ,2008-01-09 16:42:00,Brasil,MINAS GERAIS,BOA ESPERANÇA,Cerrado
 41689544 ,563a013e-5abb-11e8-911c-28924ad12c5c,  -19.352000 ,  -45.395000 ,2008-01-09 16:42:00,Brasil,MINAS GERAIS,DORES DO INDAIÁ,Cerrado
 41689537 ,563a0137-5abb-11e8-911c-28924ad12c5c,  -18.990000 ,  -49.978000 ,2008-01-09 16:42:00,Brasil,MINAS GERAIS,GURINHATÃ,Cerrado
 41689535 ,563a0135-5abb-11e8-911c-28924ad12c5c,  -19.186000 ,  -48.849000 ,2008-01-09 16:42:00,Brasil,MINAS GERAIS,PRATA,Cerrado
 41689507 ,563a0130-5abb-11e8-911c-28924ad12c5c,  -21.778000 ,  -44.414000 ,2008-01-09 16:41:00,Brasil,MINAS GERAIS,ANDRELÂNDIA,Mata Atlântica
 41623775 ,6bd29269-5abb-11e8-911c-28924ad12c5c,  -17.578000 ,  -44.352000 ,2008-01-05 17:07:00,Brasil,MINAS GERAIS,FRANCISCO DUMONT,Cerrado
 41623804 ,563981cd-5abb-11e8-911c-28924ad12c5c,  -16.217000 ,  -45.543000 ,2008-01-05 17:08:00,Brasil,MINAS GERAIS,URUCUIA,Cerrado
 41623772 ,563981bf-5abb-11e8-911c-28924ad12c5c,  -18.645000 ,  -49.740000 ,2008-01-05 17:07:00,Brasil,MINAS GERAIS,ITUIUTABA,Cerrado
