id_bdq,foco_id,lat,lon,data_pas,pais,estado,municipio,bioma
 14882998 ,54d08d07-5abb-11e8-911c-28924ad12c5c,  -15.737000 ,  -41.491000 ,2004-01-02 16:17:00,Brasil,MINAS GERAIS,ÁGUAS VERMELHAS,Mata Atlântica
 14882943 ,54d08cf4-5abb-11e8-911c-28924ad12c5c,  -17.311000 ,  -40.849000 ,2004-01-02 16:16:00,Brasil,MINAS GERAIS,CRISÓLITA,Mata Atlântica
 14882942 ,54d08cf3-5abb-11e8-911c-28924ad12c5c,  -16.957000 ,  -40.946000 ,2004-01-02 16:16:00,Brasil,MINAS GERAIS,ÁGUAS FORMOSAS,Mata Atlântica
 14946255 ,54d10d98-5abb-11e8-911c-28924ad12c5c,  -15.728000 ,  -43.279000 ,2004-01-07 16:35:00,Brasil,MINAS GERAIS,NOVA PORTEIRINHA,Cerrado
 14946251 ,54d10d94-5abb-11e8-911c-28924ad12c5c,  -15.727000 ,  -43.270000 ,2004-01-07 16:35:00,Brasil,MINAS GERAIS,NOVA PORTEIRINHA,Caatinga
 14973776 ,54d1957e-5abb-11e8-911c-28924ad12c5c,  -15.735000 ,  -41.485000 ,2004-01-09 16:23:00,Brasil,MINAS GERAIS,ÁGUAS VERMELHAS,Mata Atlântica
 15333566 ,54d67c56-5abb-11e8-911c-28924ad12c5c,  -17.137000 ,  -42.918000 ,2004-02-04 16:59:00,Brasil,MINAS GERAIS,TURMALINA,Cerrado
 15333562 ,54d67c53-5abb-11e8-911c-28924ad12c5c,  -19.082000 ,  -49.591000 ,2004-02-04 16:59:00,Brasil,MINAS GERAIS,ITUIUTABA,Cerrado
 15350655 ,54d70e5c-5abb-11e8-911c-28924ad12c5c,  -17.513000 ,  -43.542000 ,2004-02-05 16:04:00,Brasil,MINAS GERAIS,OLHOS-D'ÁGUA,Cerrado
 15453114 ,54d8373a-5abb-11e8-911c-28924ad12c5c,  -19.889000 ,  -49.534000 ,2004-02-11 17:05:00,Brasil,MINAS GERAIS,ITAPAGIPE,Mata Atlântica
 15481850 ,54d8bfee-5abb-11e8-911c-28924ad12c5c,  -21.554000 ,  -44.261000 ,2004-02-13 16:52:00,Brasil,MINAS GERAIS,MADRE DE DEUS DE MINAS,Mata Atlântica
 15626433 ,54dbe42c-5abb-11e8-911c-28924ad12c5c,  -16.962000 ,  -41.226000 ,2004-02-26 16:23:00,Brasil,MINAS GERAIS,JOAÍMA,Mata Atlântica
 15626432 ,54db5f29-5abb-11e8-911c-28924ad12c5c,  -15.786000 ,  -41.167000 ,2004-02-26 16:23:00,Brasil,MINAS GERAIS,PEDRA AZUL,Mata Atlântica
 15626431 ,54db5f28-5abb-11e8-911c-28924ad12c5c,  -16.116000 ,  -41.166000 ,2004-02-26 16:23:00,Brasil,MINAS GERAIS,JEQUITINHONHA,Mata Atlântica
 15626430 ,54db5f27-5abb-11e8-911c-28924ad12c5c,  -16.929000 ,  -42.298000 ,2004-02-26 16:23:00,Brasil,MINAS GERAIS,FRANCISCO BADARÓ,Mata Atlântica
 15626416 ,54db5f24-5abb-11e8-911c-28924ad12c5c,  -16.752000 ,  -42.374000 ,2004-02-26 16:23:00,Brasil,MINAS GERAIS,VIRGEM DA LAPA,Cerrado
 15626412 ,54db5f20-5abb-11e8-911c-28924ad12c5c,  -17.907000 ,  -43.256000 ,2004-02-26 16:23:00,Brasil,MINAS GERAIS,SENADOR MODESTINO GONÇALVES,Cerrado
 15626399 ,54db5f1e-5abb-11e8-911c-28924ad12c5c,  -16.528000 ,  -41.412000 ,2004-02-26 16:23:00,Brasil,MINAS GERAIS,JEQUITINHONHA,Mata Atlântica
 15626398 ,54db5f1d-5abb-11e8-911c-28924ad12c5c,  -16.832000 ,  -41.569000 ,2004-02-26 16:23:00,Brasil,MINAS GERAIS,PONTO DOS VOLANTES,Mata Atlântica
 15626396 ,54db5f1b-5abb-11e8-911c-28924ad12c5c,  -15.840000 ,  -41.420000 ,2004-02-26 16:23:00,Brasil,MINAS GERAIS,ÁGUAS VERMELHAS,Mata Atlântica
 15685792 ,615eb2bb-5abb-11e8-911c-28924ad12c5c,  -19.700000 ,  -45.167000 ,2004-03-02 16:41:00,Brasil,MINAS GERAIS,BOM DESPACHO,Cerrado
 15685789 ,615eb2b8-5abb-11e8-911c-28924ad12c5c,  -20.621000 ,  -44.003000 ,2004-03-02 16:40:00,Brasil,MINAS GERAIS,SÃO BRÁS DO SUAÇUÍ,Mata Atlântica
 15685786 ,54dce457-5abb-11e8-911c-28924ad12c5c,  -21.672000 ,  -44.156000 ,2004-03-02 16:40:00,Brasil,MINAS GERAIS,ANDRELÂNDIA,Mata Atlântica
 15685785 ,54dce456-5abb-11e8-911c-28924ad12c5c,  -21.652000 ,  -44.080000 ,2004-03-02 16:40:00,Brasil,MINAS GERAIS,SANTANA DO GARAMBÉU,Mata Atlântica
 15685783 ,54dce454-5abb-11e8-911c-28924ad12c5c,  -21.554000 ,  -44.301000 ,2004-03-02 16:40:00,Brasil,MINAS GERAIS,MADRE DE DEUS DE MINAS,Mata Atlântica
 15685781 ,54dce452-5abb-11e8-911c-28924ad12c5c,  -21.281000 ,  -44.185000 ,2004-03-02 16:40:00,Brasil,MINAS GERAIS,SÃO JOÃO DEL REI,Mata Atlântica
 15685760 ,54dce447-5abb-11e8-911c-28924ad12c5c,  -21.618000 ,  -44.096000 ,2004-03-02 16:40:00,Brasil,MINAS GERAIS,SANTANA DO GARAMBÉU,Mata Atlântica
 15685759 ,54dce446-5abb-11e8-911c-28924ad12c5c,  -21.578000 ,  -44.277000 ,2004-03-02 16:40:00,Brasil,MINAS GERAIS,MADRE DE DEUS DE MINAS,Mata Atlântica
